model,temperature,qid,avg_similarity,std_similarity,min_similarity,stability_score
meta-llama/llama-3.3-70b-instruct,1.0,Q4,0.72845215,0.16434938,0.41166788,0.56410277
meta-llama/llama-3.3-70b-instruct,1.0,Q5,0.8294802,0.06719743,0.7148689,0.7622827
meta-llama/llama-3.3-70b-instruct,1.0,Q6,0.83305305,0.049327143,0.7513753,0.7837259
meta-llama/llama-3.3-70b-instruct,1.0,Q7,0.7174742,0.16336863,0.4777773,0.5541056
meta-llama/llama-3.3-70b-instruct,1.0,Q8,0.891111,0.04766898,0.79150647,0.843442
meta-llama/llama-3.3-70b-instruct,1.0,Q9,0.72021765,0.27340037,0.2811157,0.44681728
meta-llama/llama-3.3-70b-instruct,1.5,Q1,0.8748743,0.03911857,0.8167126,0.8357557
meta-llama/llama-3.3-70b-instruct,1.5,Q10,0.67251265,0.18602195,0.3555457,0.4864907
meta-llama/llama-3.3-70b-instruct,1.5,Q11,0.42309365,0.20872235,0.15118508,0.2143713
meta-llama/llama-3.3-70b-instruct,1.5,Q12,0.28809926,0.19647577,0.06688063,0.091623485
meta-llama/llama-3.3-70b-instruct,1.5,Q13,0.6951323,0.26171365,0.2916427,0.43341866
meta-llama/llama-3.3-70b-instruct,1.5,Q2,0.68777364,0.18196912,0.36796516,0.50580454
meta-llama/llama-3.3-70b-instruct,1.5,Q3,0.7859466,0.19406712,0.46224463,0.5918795
meta-llama/llama-3.3-70b-instruct,1.5,Q4,0.75422996,0.14970943,0.46690303,0.60452056
meta-llama/llama-3.3-70b-instruct,1.5,Q5,0.5647186,0.19660056,0.2189522,0.36811805
meta-llama/llama-3.3-70b-instruct,1.5,Q6,0.82695967,0.09214787,0.68179697,0.7348118
meta-llama/llama-3.3-70b-instruct,1.5,Q7,0.70176786,0.14474869,0.49828267,0.5570192
meta-llama/llama-3.3-70b-instruct,1.5,Q8,0.8867396,0.05230172,0.7851473,0.8344379
meta-llama/llama-3.3-70b-instruct,1.5,Q9,0.89883274,0.03630681,0.8314377,0.86252594
meta-llama/llama-3.3-70b-instruct,2.0,Q1,0.35053357,0.19635388,0.011591094,0.15417969
meta-llama/llama-3.3-70b-instruct,2.0,Q10,0.48245662,0.16376463,0.13968982,0.318692
meta-llama/llama-3.3-70b-instruct,2.0,Q11,0.32982796,0.15266028,0.12760885,0.17716768
meta-llama/llama-3.3-70b-instruct,2.0,Q12,0.5317924,0.06272886,0.41065836,0.46906355
meta-llama/llama-3.3-70b-instruct,2.0,Q13,0.41561574,0.19710563,0.07551811,0.2185101
meta-llama/llama-3.3-70b-instruct,2.0,Q2,0.593759,0.08038256,0.42979676,0.5133764
meta-llama/llama-3.3-70b-instruct,2.0,Q3,0.56435335,0.23085546,0.01896021,0.33349788
meta-llama/llama-3.3-70b-instruct,2.0,Q4,0.3664623,0.20274529,0.030367058,0.163717
meta-llama/llama-3.3-70b-instruct,2.0,Q5,0.47752407,0.07035512,0.3512462,0.40716895
meta-llama/llama-3.3-70b-instruct,2.0,Q6,0.45778227,0.13185062,0.20407677,0.32593167
meta-llama/llama-3.3-70b-instruct,2.0,Q7,0.4392319,0.1852308,0.02312225,0.25400108
meta-llama/llama-3.3-70b-instruct,2.0,Q8,0.6428813,0.11380074,0.452171,0.5290805
meta-llama/llama-3.3-70b-instruct,2.0,Q9,0.4603875,0.1954075,0.1353713,0.26498002
